,index,PCW,log10PCW,log2PCW,MEblack,MEblue,MEbrown,MEcyan,MEdarkgreen,MEdarkgrey,MEdarkred,MEdarkturquoise,MEgreen,MEgrey60,MElightcyan,MElightgreen,MElightyellow,MEmagenta,MEmidnightblue,MEpink,MEpurple,MEroyalblue,MEsalmon,MEtan,MEturquoise,MEyellow,madMEblack,madMEblue,madMEbrown,madMEcyan,madMEdarkgreen,madMEdarkgrey,madMEdarkred,madMEdarkturquoise,madMEgreen,madMEgrey60,madMElightcyan,madMElightgreen,madMElightyellow,madMEmagenta,madMEmidnightblue,madMEpink,madMEpurple,madMEroyalblue,madMEsalmon,madMEtan,madMEturquoise,madMEyellow
11,median35,35.0,1.544068044,5.129283017,0.000367824,0.0043420590000000005,-0.038784183,0.005990595,0.021064768,-0.047229729000000005,0.008207131999999999,-0.049439044,-0.026768976,0.022792055,-0.005151537,-0.027432339,0.012528029,-0.078150096,-0.000157605,-0.009174334,0.054823517,0.002431091,-0.00264387,-0.061830303,0.020674808,0.004747912,0.009398373771484376,0.00402206144140625,0.006210770751953125,0.011460504875000003,0.0160700208515625,0.0077235051484375,0.01118329779492188,0.014060047832031245,0.0022119037539062494,0.016729103671875,0.0127515535,0.012192415259765626,0.0187578291796875,0.0065890918554687514,0.012463757281249998,0.008763459884765627,0.01328701245703125,0.021614544609375,0.01712856988867188,0.00842161528515625,0.021130261609375003,0.0087459589921875
12,median37,37.0,1.568201724,5.209453366,-0.001030958,0.0046330139999999995,-0.0248463945,0.0071064100000000005,-0.0140617615,0.035931459,0.0088421045,-0.012168772500000001,-0.0141798125,0.022460173,-0.000942473,-0.00028595749999999994,0.0093350855,-0.046102605500000005,0.013051999,-0.001161384,0.0069349475,0.0112169365,-0.0022785545,-0.0266937025,0.020714120500000002,0.0185975615,0.005925079660770032,0.004134104503642039,0.007929181470343393,0.00997528166493236,0.01097635811342352,0.011034340041623306,0.012600792348595216,0.013394405578563997,0.0019260681935483876,0.012071545560874093,0.01053312316337149,0.009877645318418317,0.014898869935483868,0.00930512763995838,0.013250792455775231,0.0061669997710717996,0.01412832183975026,0.017362365477627473,0.01454292406347555,0.008231082280957336,0.012996030206035384,0.006368836909469302
13,median56,56.0,1.748188027,5.807354922000001,-0.007843432999999999,-0.0140542485,-0.014944836,-0.003497636,0.0007444205,0.0103083065,0.0014994964999999999,-0.005748188499999999,0.0022966045,0.029430167500000003,0.0155890365,0.0160064065,0.0120004905,-0.0050737235,0.023681267,-0.0152372485,-0.006100411,0.0098723605,0.010060788000000001,0.0101566555,0.0027969925,0.01713267,0.008082114443225118,0.003444982946959305,0.013047601540923643,0.016089225034903218,0.012969995316872424,0.00995230897789971,0.020703540165066314,0.02255261109571712,0.004457787736168269,0.011856258477366254,0.011753762884316414,0.01550487065904587,0.015685154208504807,0.019569362086877002,0.018261921983539098,0.007773277236854139,0.018816236976680386,0.020258709720164608,0.015264454974851394,0.020242666605700354,0.02577774465752171,0.008881497819234873
14,median88,88.0,1.944482672,6.459431619,-0.013810645,-0.023116467,-0.005035177,-0.006230989,-0.0045404339999999994,0.0454702045,-0.003500673,0.0153234455,0.017800526,0.029296069,0.0027336085,0.032093661499999995,0.019767755,0.015498555,0.038956301,-0.02673855,-0.0262757145,0.0225072475,-0.00885587,0.033255822,0.00047052050000000005,0.0110414185,0.003448764292011019,0.0026142346740128594,0.005944118437098256,0.016647661085399446,0.00713005869054178,0.009054877573002754,0.016321154,0.006530202959595959,0.0026656117134986235,0.008434344332415059,0.008928208121212124,0.006445958704315884,0.006472859015610653,0.0059803530284664825,0.019524396000000003,0.004854298464646464,0.004957254166207531,0.01425975816804408,0.010470963112947658,0.005401388303030303,0.017739491665748397,0.003781919666666667
15,median64,64.0,1.806179974,6.0,0.0050634825,-0.016252647000000002,-0.038234909,0.014821884,-0.0669735875,0.028033245,0.029879896,-0.0365098105,0.002467233,0.008642980500000001,0.0074220145,-0.0029728684999999998,-0.014074582,-0.0403559125,0.0197160305,-0.007052221,0.016659802,-0.001165216,9.289299999999995e-05,-0.019940945,0.057138377500000004,0.035694408,0.004782167747404844,0.0021984250519031154,0.007888160622837367,0.013955563771626293,0.011722590685121105,0.006418029287197233,0.012825794083044982,0.01054749953633218,0.0033752397093425603,0.009252827512110727,0.008773329276816608,0.008554110826989621,0.00843399026297578,0.01140733429065744,0.015216942460207616,0.004027074830449826,0.005260473252595156,0.014806375674740484,0.00925477392387543,0.009887047342560554,0.022216143605536337,0.003270919840830451
16,median80,80.0,1.903089987,6.321928095,-0.012409686,-0.018313946,-0.008169111,-0.004924085,-0.041401369,-0.009530065,-0.006997178000000001,0.008948776,0.007940849,0.022127259,0.012417783,0.019431017,0.012923374,0.017022681,0.030864303,-0.018041801,0.006220635,0.017291642,3.64e-05,0.022648826,-0.005668836,0.015912478,0.003447859597222222,0.0031615138750000008,0.004332055111111111,0.020725953069444445,0.021142132555555557,0.012114306361111112,0.00462357111111111,0.006268707833333332,0.0036129275277777782,0.010070011999999998,0.007889463736111112,0.007076997000000001,0.0074525371249999995,0.009316127166666664,0.020868879027777783,0.004406810666666668,0.015594424666666664,0.018132627555555555,0.008359724194444444,0.0070577485000000014,0.012975896152777775,0.006428267111111111
17,median230,230.0,2.361727836,7.845490051,-0.004772007,-0.023972102,-0.015447697,0.001724515,-0.045756100999999993,0.032319565,0.015670991999999998,-0.017884613,0.02473636,0.011303135,0.016274198,0.01771345,-0.00690151,-0.000564276,0.027864273,-0.009768966,-0.011175637,0.00224083,0.0034601320000000003,0.010680108999999998,0.027614345,0.034844939,0.0032998503906250002,0.0019365354218750005,0.006496416031249998,0.017448545742187502,0.013502755499999998,0.007424928898437499,0.010331974812500002,0.00845619934375,0.0040401139140625,0.0076953763359374995,0.005760920203124999,0.007449992187500002,0.007056452937500001,0.009306554468749999,0.016450193523437504,0.0033121181640625,0.007156434343749999,0.012880763781249999,0.006725544945312501,0.008602828921875,0.0157075611015625,0.0036150522343749996
18,median140,140.0,2.146128036,7.1292830170000006,-0.001521621,-0.020078293,-0.043034721,0.001454582,-0.013229364,-0.003839242,0.00403315,-0.065141839,0.01283025,0.016363668,0.04070833,-0.010373922,-0.013946009,-0.051488233,0.009821574,-0.010466656,0.018485488,-0.023282903,0.036485959,-0.033044502,0.013874993,0.039218196,0.003418925528061224,0.0026966988214285705,0.004776394038265305,0.01927654290816327,0.007603125897959184,0.007837255418367347,0.0167266172627551,0.007668431359693877,0.0028422497806122444,0.008281604992346939,0.0065780311020408174,0.005086527920918368,0.0063532814005102045,0.005919663762755102,0.013602171045918366,0.003898739454081632,0.007403183464285715,0.014570046244897963,0.00857467845918367,0.005817999948979591,0.014334839897959183,0.003908331663265306
19,median190,190.0,2.278753601,7.569855607999999,-0.007873523,-0.021186846,-0.034026137000000005,0.001512971,-0.020761707,0.022062232,0.00437502,-0.036569563,0.008926009,0.016770819,0.023804271,0.002577253,-0.0015165379999999998,-0.042316784,0.018211493,-0.01598951,0.019901921,-0.006792394,0.012389741,-0.010673878,0.015480963,0.029372981,0.006723020479591837,0.0027639192857142887,0.013610397839285715,0.022230420204081638,0.017003595890306124,0.012833251913265306,0.020149432040816328,0.019574580339285715,0.004051599752551021,0.007637849270408163,0.007565683397959181,0.010455415469387752,0.010510011061224492,0.020226475714285715,0.017012752357142856,0.0035710733163265298,0.012112247096938773,0.018084195448979594,0.009466800127551021,0.015438335252551021,0.027019304377551023,0.005427865375
20,median440,440.0,2.643452676,8.781359714,-0.0118261765,-0.023304168,-0.005878839,-0.0079464755,-0.047309168,0.0555898995,0.0012915475,-0.003086797,0.025738695,0.0098437515,0.0242299105,0.019635886499999998,0.00035645349999999996,0.022360830499999998,0.025251258,-0.0113583265,-0.008883874,0.0025542515,0.0127064175,0.0246767465,-0.010386297,0.0357506905,0.004106666192627824,0.002385843935790726,0.010052771027348393,0.018506955535077294,0.016824119424494653,0.011875369609988109,0.010665713732461356,0.014003851940546968,0.0038084543781212845,0.007282200008323425,0.005903603879904873,0.006354121615933413,0.009685098593341261,0.010657904444708679,0.01595222736028537,0.005928972853745541,0.015825419384066588,0.015599024159334129,0.0062957606884661114,0.009875254629013078,0.014824562057074912,0.013265246246135554
